Country,Police,Medical,Fire
Algeria,17,14,14
Botswana,999,997,998
Cameroon,17,119,18
Chad,17,17,18
Djibouti,17,17,18
Egypt,122,123,180
Ghana,191,193,192
Mali,17,15,18
Mauritius,999,114,115
Morocco,19,15,15
Nigeria,112,112,112
South Africa,10111,10177,10111
Tunisia,197,190,198
Rwanda,112,112,112
Uganda,999,999,999
Sudan,999,999,999
Sierra Leone,19,999,999
Zambia,999,991,993
Zimbabwe,995,994,993
Afghanistan,119,102,119
Bangladesh,999,999,999
Bahrain,999,999,999
Cambodia,117,117,117
East Timor,112,112,112
China,110,120,119
Myanmar,191,191,191
Hong Kong,999,999,999
India,100,112,101
Indonesia,110,118,113
Iran,110,115,125
Israel,100,101,102
Japan,110,119,119
Jordan,911,911,911
Kazakhstan,102,103,101
North Korea,819,819,819
South Korea,112,119,119
Kuwait,112,112,112
Lebanon,999,140,175
Macau,999,999,999
Maldives,102,102,102
Malaysia,999,999,999
Mongolia,102,103,101
Nepal,100,102,101
Oman,999,999,999
Pakistan,15,115,16
Philippines,117,117,117
Qatar,999,999,999
Saudi Arabia,999,997,998
Singapore,999,995,995
Sri Lanka,119,110,111
Syria,112,110,113
Taiwan,110,119,119
Tajikistan,102,103,101
Thailand,191,199,199
United Arab Emirates,999,999,997
Vietnam,113,115,114
Albania,129,127,128
Armenia,"911,112","911,112","911,112"
Austria,112,112,112
Azerbaijan,102,103,101
Belarus,102,103,101
Belgium,112,112,112
Bosnia and Herzegovina,122,124,123
Bulgaria,112,112,112
Croatia,112,112,112
Cyprus,112,112,112
Czech Republic,112,112,112
Denmark,112,112,112
Estonia,112,112,112
Faroe Islands,112,112,112
Finland,112,112,112
France,112,112,112
Georgia,112,112,112
Germany,112,112,112
Gibraltar,112,112,112
Greece,112,112,112
Greenland,112,112,112
Hungary,112,112,112
Iceland,112,112,112
Ireland,112,112,112
Italy,112,112,112
Latvia,112,112,112
Lithuania,112,112,112
Luxembourg,112,112,112
Republic of Macedonia,112,112,112
Malta,112,112,112
Moldova,902,903,901
Monaco,112,112,112
Montenegro,112,112,112
Netherlands,112,112,112
Norway,112,112,112
Poland,112,112,112
Portugal,112,112,112
Romania,112,112,112
Russia,112,112,112
San Marino,113,113,113
Serbia,112,112,112
Slovakia,112,112,112
Slovenia,112,112,112
Spain,112,112,112
Sweden,112,112,112
Switzerland,112,112,112
Turkey,112,112,112
Ukraine,112,112,112
United Kingdom,112,112,112
Vatican City,113,118,115
Australia,000,000,000
Fiji,911,9170,9170
New Zealand,111,111,111
Solomon Islands,999,999,999
Vanuatu,112,112,112
Canada,911,911,911
Mexico,66,65,68
Saint Pierre and Miquelon,17,15,18
United States of America,911,911,911
Guatemala,110 or 120,"122, 123, 1554","122, 123, 1555"
El Salvador,911,912,913
Costa Rica,911 or 112,911 or 112,911 or 112
Panama,911 or 112,911 or 112,911 or 112
Barbados,211,511,311
Cayman Islands,911,911,911
Dominican Republic,911 or 112,912 or 112,913 or 112
Jamaica,119,110,110
Trinidad and Tobago,999,990,990
Nicaragua,118,118,118
Honduras,911,911,911
Haiti,118,118,118
Argentina,101,107,100
Bolivia,110,118,119
Brazil,190,192,193
Chile,133,131,132
Colombia,156,132,119
Ecuador,911,911,911
French Guiana,17,15,18
Guyana,911,913,912
Paraguay,911,911,911
Peru,105,106,116
Suriname,115,115,115
Uruguay,911,911,911
Venezuela,171,171,171
